X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,
-8795215.043,4293456.921,75473,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,106 PINEGATE CIR,CHAPEL HILL,NC,27514,2010/03/14 23:35:00+00,2010/03/14 23:34:00+00,2010/03/14 23:35:00+00,<Null>,ALL OTHER,N,<Null>,<Null>,<Null>,<Null>,35.947915,-79.008761,1536,
-8799663.704,4290457.605,75656,CHPD,LOUD MUSIC/PARTY,700 BOLINWOOD DR,CHAPEL HILL,NC,27514,2010/03/20 23:51:00+00,2010/03/20 23:50:00+00,2010/03/20 23:51:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.9261,-79.048724,1572,
-8797608.746,4290658.725,75256,CHPD,LOUD MUSIC/PARTY,130 S ESTES DR,CHAPEL HILL,NC,27514,2010/03/05 19:26:00+00,2010/03/05 19:25:00+00,2010/03/05 19:26:00+00,<Null>,OTHER RESIDENCE - OTHER DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.927563,-79.030264,1575,
-8800178.89,4286261.463,75722,CHPD,LOUD NOISE,201 HOWELL ST,CHAPEL HILL,NC,27514,2010/03/25 03:32:00+00,2010/03/25 03:31:00+00,2010/03/25 03:32:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.89557,-79.053352,1610,
-8800765.21,4288975.919,75633,CHPD,LOUD MUSIC/PARTY,401 PRITCHARD AVE,CHAPEL HILL,NC,27516,2010/03/21 00:23:00+00,2010/03/21 00:22:00+00,2010/03/21 00:23:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.915321,-79.058619,1613,
-8798765.133,4291694.215,76097,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,411 CLAYTON RD,CHAPEL HILL,NC,27514,2010/04/11 17:09:00+00,2010/04/11 17:08:00+00,2010/04/11 17:09:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.935095,-79.040652,1657,
-8797608.746,4290658.725,75300,CHPD,LOUD MUSIC,130 S ESTES DR,CHAPEL HILL,NC,27514,2010/03/07 15:24:00+00,2010/03/07 15:24:00+00,2010/03/07 15:24:00+00,<Null>,HOME OF VICTIM - SINGLE FAMILY,N,<Null>,28,W,M,35.927563,-79.030264,1679,
-8801199.801,4288615.803,75959,CHPD,LOUD MUSIC/PARTY,211 MITCHELL LN,CHAPEL HILL,NC,27516,2010/04/04 03:20:00+00,2010/04/04 03:19:00+00,2010/04/04 03:20:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.912701,-79.062523,1751,
-8800310.581,4294938.255,75425,CHPD,LOUD NOISE,833 SALUDA CT,CHAPEL HILL,NC,27514,2010/03/13 01:23:00+00,2010/03/13 01:23:00+00,2010/03/13 01:23:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,<Null>,<Null>,<Null>,<Null>,<Null>,35.958687,-79.054535,1782,
-8799999.332,4289646.563,76058,CHPD,LOUD MUSIC/PARTY,425 HILLSBOROUGH ST,CHAPEL HILL,NC,27514,2010/04/10 01:00:00+00,2010/04/10 01:00:00+00,2010/04/10 01:00:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.9202,-79.051739,1795,
-8800178.89,4286261.463,75961,CHPD,LOUD NOISE,201 HOWELL ST,CHAPEL HILL,NC,27514,2010/04/05 02:13:00+00,2010/04/05 02:12:00+00,2010/04/05 02:13:00+00,<Null>,OTHER RESIDENCE - SINGLE FAMILY DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.89557,-79.053352,1856,
-8795830.528,4288541.17,75471,CHPD,LOUD MUSIC/PARTY,1043 PINEHURST DR,CHAPEL HILL,NC,27517,2010/03/12 22:39:00+00,2010/03/12 22:38:00+00,2010/03/12 22:39:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.912158,-79.01429,1874,
-8800802.391,4289419.208,75644,CHPD,LOUD MUSIC/PARTY,101 ISLEY ST,CHAPEL HILL,NC,27516,2010/03/21 01:03:00+00,2010/03/21 01:02:00+00,2010/03/21 01:03:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.918546,-79.058953,1910,
