X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId
-8800291.991,4291538.858,98083,CHPD,OPEN CONTAINER,980 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27514,2013/04/27 08:37:00+00,2013/04/26 17:00:00+00,2013/04/26 17:00:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.933965,-79.054368,23519
-8800596.895,4288790.774,98072,CHPD,OPEN CONTAINER,108 W ROSEMARY ST,CHAPEL HILL,NC,27516,2013/04/26 10:20:00+00,2013/04/26 10:19:00+00,2013/04/26 10:20:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913974,-79.057107,23542
-8800929.963,4288452.381,99875,CHPD,OPEN CONTAINER OF MALT BEVERAGE,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/07/25 23:36:00+00,2013/07/25 23:35:00+00,2013/07/25 23:36:00+00,<Null>,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,24134
-8800929.963,4288452.381,99180,CHPD,OPEN CONTAINER,310 W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/06/21 07:16:00+00,2013/06/21 07:10:00+00,2013/06/21 07:16:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.911512,-79.060099,24288
-8800458.525,4288672.569,100048,CHPD,OPEN CONTAINER OF MALT BEVERAGE,100 S COLUMBIA ST,CHAPEL HILL,NC,27516,2013/08/02 21:08:00+00,2013/08/02 21:07:00+00,2013/08/02 21:08:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913114,-79.055864,24488
-8800516.522,4288826.099,100128,CHPD,OPEN CONTAINER,N COLUMBIA ST,CHAPEL HILL,NC,27514,2013/08/07 14:23:00+00,2013/08/07 14:22:00+00,2013/08/07 14:23:00+00,<Null>,SERVICE/GAS STATION,<Null>,<Null>,<Null>,<Null>,<Null>,35.914231,-79.056385,24614
-8800369.914,4288720.676,100126,CHPD,OPEN CONTAINER,121 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/08/07 14:55:00+00,2013/08/07 14:54:00+00,2013/08/07 14:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913464,-79.055068,24690
-8801241.991,4288302.842,99766,CHPD,POSSESS OPEN CONTAINER,450 W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/07/20 01:46:00+00,2013/07/20 01:46:00+00,2013/07/20 01:46:00+00,<Null>,RESTAURANT,N,<Null>,<Null>,<Null>,<Null>,35.910424,-79.062902,24876
-8800441.159,4288788.85,100549,CHPD,OPEN CONTAINER,100  E ROSEMARY ST,CHAPEL HILL,NC,27516,2013/08/28 15:07:00+00,2013/08/28 15:06:00+00,2013/08/28 15:07:00+00,<Null>,PARKING LOT/AREA,N,<Null>,<Null>,<Null>,<Null>,35.91396,-79.055708,25062
-8800287.427,4288759.848,100727,CHPD,OPEN CONTAINER OF MALT BEVERAGE,143 E FRANKLIN ST,CHAPEL HILL,NC,27514,2013/09/04 22:33:00+00,2013/09/04 22:32:00+00,2013/09/04 22:33:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.913749,-79.054327,25197
-8801275.498,4288282.501,100600,CHPD,OPEN CONTAINER,100 N ROBERSON ST/W FRANKLIN ST,CHAPEL HILL,NC,27516,2013/08/31 00:33:00+00,2013/08/30 23:55:00+00,2013/08/30 23:55:00+00,<Null>,HIGHWAY/ROAD/STREET  ETC.,N,<Null>,<Null>,<Null>,<Null>,35.910276,-79.063203,25338
